,root,type,struct,f_pos,notes,difficulty,complexity,chord
1315,A,m,1;b3;5,"1,x,3,1,1,x","A,A,C,E",2,22.05,Am
1268,A,maj,1;3;5,"x,3,4,2,1,1","E,A,C#,E,A",3,30.87,Amaj
1267,A,maj,1;3;5,"x,x,3,1,2,x","C#,E,A",1,30.87,Amaj
1266,A,maj,1;3;5,"x,1,3,3,3,1","A,E,A,C#,E",3,30.87,Amaj
1265,A,maj,1;3;5,"2,1,x,x,x,x","A,C#",0,30.87,Amaj
1264,A,maj,1;3;5,"x,3,1,1,1,x","C#,E,A,C#",2,30.87,Amaj
1263,A,maj,1;3;5,"x,0,1,3,4,2","A,A,E,A,C#",3,30.87,Amaj
1262,A,maj,1;3;5,"x,0,3,2,1,1","A,A,C#,E,A",3,30.87,Amaj
1261,A,maj,1;3;5,"x,x,x,2,1,0","C#,E,E",1,30.87,Amaj
1260,A,maj,1;3;5,"x,0,1,1,1,x","A,E,A,C#",2,30.87,Amaj
1259,A,maj,1;3;5,"x,x,x,1,3,2","E,A,C#",1,30.87,Amaj
1258,A,maj,1;3;5,"x,0,3,2,1,0","A,A,C#,E,E",3,30.87,Amaj
1257,A,maj,1;3;5,"x,0,1,1,1,4","A,E,A,C#,A",3,30.87,Amaj
1256,A,maj,1;3;5,"x,1,4,x,x,2","C#,A,A",1,30.87,Amaj
1255,A,maj,1;3;5,"0,3,x,1,4,0","E,C#,A,E,E",3,30.87,Amaj
1254,A,maj,1;3;5,"x,4,3,1,2,1","A,C#,E,A,C#",3,30.87,Amaj
1253,A,maj,1;3;5,"1,3,4,2,1,1","A,E,A,C#,E,A",4,30.87,Amaj
1252,A,maj,1;3;5,"x,0,1,2,3,0","A,E,A,C#,E",3,30.87,Amaj
1251,A,aug,1;3;#5,"x,0,4,2,3,1","A,E#,A,C#,E#",3,44.1,Aaug
1250,A,aug,1;3;#5,"x,x,4,2,3,1","C#,E#,A,C#",2,44.1,Aaug
1249,A,aug,1;3;#5,"4,3,2,1,x,x","A,C#,E#,A",2,44.1,Aaug
1248,A,aug,1;3;#5,"x,3,2,1,1,x","C#,E#,A,C#",2,44.1,Aaug
1247,A,dim7,1;b3;b5;bb7,"2,x,1,3,x,x","Gb,Eb,A",1,44.1,Adim7
1246,A,dim7,1;b3;b5;bb7,"x,2,3,1,4,x","Eb,A,C,Gb",2,44.1,Adim7
1245,A,dim7,1;b3;b5;bb7,"x,3,1,2,x,x","A,C,Gb",1,44.1,Adim7
1244,A,dim7,1;b3;b5;bb7,"x,3,1,2,x,x","Gb,A,Eb",1,44.1,Adim7
1269,A,maj,1;3;5,"x,x,3,2,1,x","A,C#,E",1,30.87,Amaj
1243,A,dim7,1;b3;b5;bb7,"2,x,1,3,x,x","A,Gb,C",1,44.1,Adim7
1270,A,13(#11),1;3;5;b7;9;#11;13,"x,1,2,2,4,3","G,C#,F#,B,D#",3,92.61,A13(#11)
1272,A,11,1;3;5;b7;9;11,"x,0,3,2,1,1","A,G,B,D,G",3,61.74,A11
1297,A,add9,1;3;5;9,"x,2,3,1,0,0","E,A,C#,B,E",3,39.69,Aadd9
1296,A,add9,1;3;5;9,"0,3,4,2,0,0","E,E,A,C#,B,E",4,39.69,Aadd9
1295,A,add9,1;3;5;9,"x,x,3,2,1,4","A,C#,E,B",2,39.69,Aadd9
1294,A,add9,1;3;5;9,"1,3,4,2,0,0","A,E,A,C#,B,E",4,39.69,Aadd9
1293,A,add9,1;3;5;9,"x,0,1,4,2,0","A,E,B,C#,E",3,39.69,Aadd9
1292,A,add9,1;3;5;9,"x,0,2,1,0,0","A,A,C#,B,E",3,39.69,Aadd9
1291,A,m11,1;b3;5;b7;9;11,"x,0,4,2,1,0","A,A,C,D,E",3,66.15,Am11
1290,A,m11,1;b3;5;b7;9;11,"x,0,3,4,0,1","A,G,C,B,G",3,66.15,Am11
1289,A,m11,1;b3;5;b7;9;11,"x,0,4,2,1,1","A,A,C,D,G",3,66.15,Am11
1288,A,m11,1;b3;5;b7;9;11,"2,x,3,4,1,0","A,G,C,D,E",3,66.15,Am11
1287,A,m11,1;b3;5;b7;9;11,"x,0,3,2,1,4","A,G,B,D,A",3,66.15,Am11
1286,A,m11,1;b3;5;b7;9;11,"x,0,2,3,1,x","A,G,C,D",2,66.15,Am11
1285,A,m11,1;b3;5;b7;9;11,"1,3,0,0,0,0","A,E,D,G,B,E",4,66.15,Am11
1284,A,m11,1;b3;5;b7;9;11,"x,0,0,3,0,1","A,D,C,B,G",3,66.15,Am11
1283,A,m11,1;b3;5;b7;9;11,"2,x,3,4,1,x","A,G,C,D",2,66.15,Am11
1282,A,7(b13),1;3;5;b7;b13,"x,0,2,0,3,1","A,E,G,C#,F",3,61.74,A7(b13)
1281,A,sus2,1;2;5,"x,0,2,3,0,x","A,E,A,B",2,17.64,Asus2
1280,A,sus2,1;2;5,"x,0,1,3,4,1","A,A,E,A,B",3,17.64,Asus2
1279,A,sus2,1;2;5,"0,0,1,4,0,0","E,A,E,B,B,E",4,17.64,Asus2
1278,A,sus2,1;2;5,"x,0,2,3,0,0","A,E,A,B,E",3,17.64,Asus2
1277,A,maj9,1;3;5;7;9,"x,0,1,3,1,4","A,E,B,C#,G#",3,52.92,Amaj9
1276,A,maj9,1;3;5;7;9,"x,2,1,4,3,0","A,C#,G#,B,E",3,52.92,Amaj9
1275,A,maj9,1;3;5;7;9,"2,1,4,1,3,x","A,C#,G#,B,E",3,52.92,Amaj9
1274,A,maj9,1;3;5;7;9,"x,0,2,1,0,0","A,E,G#,B,E",3,52.92,Amaj9
1273,A,11,1;3;5;b7;9;11,"x,0,1,1,2,1","A,A,D,G,B",3,61.74,A11
1271,A,11,1;3;5;b7;9;11,"x,0,0,0,0,0","A,D,G,B,E",3,61.74,A11
1242,A,dim7,1;b3;b5;bb7,"x,2,3,1,4,x","A,Eb,Gb,C",2,44.1,Adim7
1241,A,dim7,1;b3;b5;bb7,"x,0,x,x,3,1","A,Eb,Gb",1,44.1,Adim7
1240,A,dim7,1;b3;b5;bb7,"x,0,x,2,1,3","A,Eb,Gb,C",2,44.1,Adim7
1209,A,9b5,1;3;b5;b7;9,"2,1,3,1,1,4","A,C#,G,B,Eb,A",4,70.56,A9b5
1208,A,9b5,1;3;b5;b7;9,"x,0,1,0,0,x","A,Eb,G,B",2,70.56,A9b5
1207,A,9,1;3;5;b7;9,"x,0,1,2,1,3","A,G,C#,E,B",3,52.92,A9
1206,A,9,1;3;5;b7;9,"x,0,2,1,3,4","A,G,B,E,A",3,52.92,A9
1205,A,9,1;3;5;b7;9,"x,0,1,3,1,2","A,E,B,C#,G",3,52.92,A9
1204,A,7(#9),1;3;5;b7;#9,"2,1,3,3,x,x","A,C#,G,B#",2,52.92,A7(#9)
1203,A,7(#9),1;3;5;b7;#9,"x,x,1,2,1,4","G,C#,E,B#",2,52.92,A7(#9)
1202,A,7(#9),1;3;5;b7;#9,"1,3,1,2,4,4","A,E,G,C#,G,B#",4,52.92,A7(#9)
1201,A,7(#9),1;3;5;b7;#9,"x,x,2,1,3,4","A,C#,G,B#",2,52.92,A7(#9)
1200,A,7(#9),1;3;5;b7;#9,"x,2,1,3,4,x","A,C#,G,B#",2,52.92,A7(#9)
1199,A,7(#9),1;3;5;b7;#9,"x,2,3,1,4,4","E,A,C#,G,B#",3,52.92,A7(#9)
1198,A,7(#9),1;3;5;b7;#9,"x,0,2,1,4,4","A,A,C#,G,B#",3,52.92,A7(#9)
1197,A,7(#9),1;3;5;b7;#9,"x,2,1,3,4,0","A,C#,G,B#,E",3,52.92,A7(#9)
1196,A,7(#9),1;3;5;b7;#9,"x,0,1,2,1,4","A,G,C#,E,B#",3,52.92,A7(#9)
1195,A,7(#9),1;3;5;b7;#9,"x,0,1,4,1,2","A,E,B#,C#,G",3,52.92,A7(#9)
1194,A,13,1;3;5;b7;9;11;13,"x,x,1,2,3,3","G,C#,F#,B",2,74.97,A13
1193,A,13,1;3;5;b7;9;11;13,"x,x,1,2,3,1","G,C#,F#,A",2,74.97,A13
1192,A,13,1;3;5;b7;9;11;13,"x,x,2,1,3,3","E,G,C#,F#",2,74.97,A13
1191,A,13,1;3;5;b7;9;11;13,"x,2,1,3,3,4","A,C#,G,B,F#",3,74.97,A13
